,screen name,mentions
639,nautolans,
640,MorbidGiggling,maryneelahaye
641,giggleschitz,"marisha_ray, thatguythorfinr, babsdraws, criticalrole, willingblam"
642,the_gnome_nyx,"wizards_dnd, criticalrole, matthewmercer"
643,peterlkeay,cait_w_candy
644,talika42,criticalrole
645,miLky_Natti,"ajillustrate, talksmachina"
646,cindrrain,caitmayart
647,rasareth,galacticjonah
648,BSchloskey,"criticalrole, executivegoth"
649,TheZombieKnigh1,"matthewmercer, voiceofobrien, samriegel"
650,Posapants,zephyri
651,DeliriousAnu,vi1ukissa
652,DavidCasciola,"voiceofobrien, samriegel"
653,tobias13_,
654,daerksiea,retromortis
655,settiai,
656,TroublesomeGabe,triaelf9
657,cindrrain,"dafthux, exec"
658,connorwillixm,criticalrole
659,Not3Worthy,criticalrole
660,ProfChestnut,artofnickrobles
661,VictorH52073699,criticalrole
662,MyBrainHatesYou,
663,KatWaterflame,
664,MoS_Trix,
665,cookietosser,"variety, criticalrole"
666,BjornGrizz,nomoshobia
667,NicoViecco,matthewmercer
668,WarriorCosmic,
669,Randall_Hampton,"artofnickrobles, criticalrole"
670,hchanooo,retromortis
671,AllyeKatDraws,
672,Yenatic,"ajillustrate, talksmachina"
673,clownedbox,"justinmcelroy, criticalrole"
674,kjkoch,
675,j_veydt,siriusdraws
676,Kavo350,"criticalrole, marisha_ray"
677,Gretchen_A_K,
678,Pamapajama,
679,_franknstar,voiceofobrien
680,roguishbard,
681,News_on_Shuffle,
682,buckyb618,
683,SweetNAwful,
684,CritRoleStats,
685,Benobi_219,
686,ooorangy,criticalrole
687,omw2innisfree,
688,taurusgrace309,corntreees
689,Coyoteguy,criticalrole
690,2Lacuna,karekareo
691,bran_not,ruushes
692,transboyizumida,
693,pumatsolpatch,
694,KingsShade,kellyjoule
695,Bemkorr,critrolestats
696,ninefoxed,
697,DnD_Lich,quietsnooze
698,bran_not,forgingmeanings
699,Rit0zensRespite,
700,nothingoskar,critrolestats
701,thegreyhunt,mhendricksonart
702,warlockandkey,
